Company Name,Location,Sector,Amount,Stage,Funding Year
Apna,Bangalore,OTHERS,70000000,Series B,2021
XYXX Apparels,Surat,OTHERS,4000000,Series A,2021
BrowserStack,MumbAI,OTHERS,200000000,Series B,2021
Vital,New Delhi,OTHERS,3000000,Others,2021
RenewBuy,Gurugram,OTHERS,45000000,Series C,2021
Kutumb,Bangalore,OTHERS,26000000,Series A,2021
Superplum,Noida,EV,3800000,Others,2021
Upside AI,MumbAI,OTHERS,1200000,Others,2021
Skillmatics,MumbAI,EV,6000000,Series A,2021
Bimaplan,Bangalore,OTHERS,2500000,Others,2021
Bueno FINANCE,Gurugram,OTHERS,3000000,Others,2021
CityMall,Gurugram,FINANCE,22000000,Series B,2021
Anvidha EVnologies,Haryana,OTHERS,1500000,Others,2021
MYRE Capital,MumbAI,FINANCE,9627286,Others,2021
Synapsica,New Delhi,HEALTH,4000000,Series A,2021
GoMechanic,Gurugram,EV,42000000,Series C,2021
Classplus,Noida,EV,65000000,Series C,2021
GoBolt,Gurugram,OTHERS,20000000,Series B,2021
Loco,Bangalore,OTHERS,9000000,Others,2021
Auric,New Delhi,HEALTH,2000000,Others,2021
AIrblack,Gurugram,OTHERS,5200000,Series A,2021
TABLT,Kolkata,HEALTH,3000000,Others,2021
Hesa,Hyderabad,OTHERS,2000000,Others,2021
Treebo Hotels,Bangalore,HEALTH,16000000,Series D,2021
SupertAIls,Bangalore,OTHERS,2600000,Others,2021
Cancer Clinics,Telugana,HEALTH,1500000,Others,2021
Velocity,Bangalore,OTHERS,1300000,Others,2021
Zotalabs,Pune,OTHERS,1250000,Others,2021
Voiro,Bangalore,OTHERS,1800000,Others,2021
Rupifi,Bangalore,OTHERS,4100000,Others,2021
Moneyboxx,MumbAI,OTHERS,3000000,Debt,2021
CityMall,Gurugram,FINANCE,11000000,Series A,2021
ReshaMandi,Bangalore,EV,1700000,Others,2021
DotPe,Gurugram,OTHERS,27000000,Series A,2021
BYJU'S,Bangalore,EV,460000000,Series F,2021
HealthPlix,Bangalore,HEALTH,13500000,Series B,2021
MasAI School,Bangalore,EV,5000000,Series A,2021
Stelis HEALTH,Bangalore,EV,195000000,Series B,2021
NeoDove,JAIpur,OTHERS,15000000,Others,2021
KreditBee,Bangalore,OTHERS,75000000,Others,2021
True Balance,Gurugram,OTHERS,10000000,Debt,2021
FloBiz,Bangalore,OTHERS,10000000,Series A,2021
JeEVam Health,New Delhi,HEALTH,1500000,Others,2021
OZiva,MumbAI,OTHERS,12000000,Series B,2021
Euler Motors,New Delhi,EV,2600000,Series A,2021
Pixxel,Bangalore,OTHERS,7300000,Others,2021
Prescinto,Gujarat,OTHERS,3500000,Others,2021
MyGlamm,MumbAI,OTHERS,20000000,Series C,2021
Juicy Chemistry,Coimbatore,HEALTH,6300000,Series A,2021
Indifi,Gurugram,OTHERS,5000000,Debt,2021
YAP,ChennAI,OTHERS,10000000,Series B,2021
Leap FINANCE,Bangalore,OTHERS,17000000,Series B,2021
4baseCare,Bangalore,OTHERS,2000000,Others,2021
Riskcovry,Bangalore,OTHERS,5000000,Series A,2021
Quizizz,Bangalore,EV,12500000,Series A,2021
Turtlemint,MumbAI,OTHERS,45000000,Series D,2021
CaptAIn Fresh,Bangalore,OTHERS,3000000,Others,2021
Northern Arc,ChennAI,OTHERS,10000000,Debt,2021
DealShare,JAIpur,FINANCE,3000000,Debt,2021
Euler Motors,New Delhi,EV,4000000,Series A,2021
KoineArth,Bangalore,OTHERS,1800000,Others,2021
Northern Arc,ChennAI,OTHERS,50000000,Debt,2021
Virohan,Gurugram,EV,3000000,Series A,2021
BlissClub,Bangalore,OTHERS,2000000,Others,2021
ANSR,Bangalore,OTHERS,15000000,Series B,2021
Magenta EV,MumbAI,OTHERS,15000000,Series A,2021
Wysa,Bangalore,AI,5000000,Series A,2021
Agnikul,ChennAI,OTHERS,11000000,Series A,2021
Tekie,Gurugram,EV,1500000,Others,2021
Betterhalf.AI,Bangalore,OTHERS,3000000,Others,2021
Koo,Bangalore,ENTERTAINMENT,30000000,Series B,2021
Cuvette EV,Bangalore,OTHERS,1800000,Others,2021
FarMart,Gurugram,EV,24000000,Others,2021
Kodo Card,MumbAI,OTHERS,8000000,Others,2021
JAI Kisan,MumbAI,OTHERS,30000000,Series A,2021
Plum,Bangalore,HEALTH,15000000,Series A,2021
Mensa Brands,Bangalore,OTHERS,50000000,Series A,2021
MedTel HEALTH,Orissia,HEALTH,5000000,Others,2021
BharatPe,New Delhi,OTHERS,6000000,Debt,2021
Locobuzz,MumbAI,AI,4000000,Series A,2021
We Founder Circle,MumbAI,OTHERS,2000000,Others,2021
SuperOps.AI,ChennAI,OTHERS,3000000,Others,2021
Teachmint,Bangalore,EV,16500000,Series A,2021
Rapido,Bangalore,EV,43000000,Series C,2021
ElasticRun,Pune,FINANCE,75000000,Series D,2021
AvAIl FINANCE,Bangalore,OTHERS,3000000,Debt,2021
Nivesh,Noida,OTHERS,1600000,Others,2021
Fi,Bangalore,FINANCE,50000000,Series B,2021
Ruptok FinEV,New Delhi,FINANCE,2000000,Others,2021
Dogsee Chew,Bangalore,FOOD,7000000,Others,2021
Advantage Club,Gurugram,OTHERS,3300000,Others,2021
EV Smart,New Delhi,OTHERS,7000000,Others,2021
The Good Glamm Group,Pune,EV,150000000,Series D,2021
MosAIc HEALTH,MumbAI,HEALTH,24000000,Series A,2021
Xpand,New Delhi,FINANCE,1500000,Others,2021
Troo Good,Hyderabad,FINANCE,7000000,Series A,2021
Unnati,Noida,OTHERS,7000000,Series A,2021
Lysto,Bangalore,OTHERS,3000000,Others,2021
Wakefit,Bangalore,OTHERS,20000000,Series C,2021
ElectricPe,Bangalore,EV,3000000,Others,2021
Vayana Network,Pune,FINANCE,30000000,Series C,2021
EyeMyEye,Gurugram,OTHERS,2000000,Others,2021
DGV,Bangalore,EV,3000000,Others,2021
GuardianLink,ChennAI,EV,12000000,Series A,2021
Clinikk,Bangalore,HEALTH,4000000,Others,2021
Mensa,Bangalore,OTHERS,135000000,Series B,2021
GENLEAP,Haryana,OTHERS,8000000,Others,2021
Planys,ChennAI,OTHERS,1600000,Others,2021
GoKwik,New Delhi,EV,15000000,Series A,2021
Velocity,Bangalore,FINANCE,20000000,Series A,2021
SalaryBox,Gurugram,FINANCE,4000000,Others,2021
Disprz,MumbAI,OTHERS,13000000,Series B,2021
Mindhouse,Gurugram,HEALTH,6000000,Others,2021
NoBroker.com,Bangalore,OTHERS,2100000,Series E,2021
Haber,Pune,EV,20000000,Series B,2021
Park+,New Delhi,OTHERS,25000000,Series B,2021
Simple Energy,Bangalore,EV,21000000,Others,2021
Spinny,Gurugram,EV,248000000,Series E,2021
Slice,Bangalore,FINANCE,220000000,Series B,2021
21K School,Bangalore,OTHERS,5000000,Others,2021
Adda247,Gurugram,OTHERS,20000000,Series B,2021
RENEE Cosmetics,Ahmedabad,OTHERS,1500000,Others,2021
Progcap,New Delhi,OTHERS,30000000,Series C,2021
ANS Commerce,Gurugram,FINANCE,2200000,Others,2021
GramCover,Noida,FINANCE,7000000,Series A,2021
Licious,Bangalore,FOOD,52000000,Series G,2021
Chalo,MumbAI,OTHERS,40000000,Series C,2021
Sunstone Eduversity,Gurugram,EV,28000000,Series B,2021
Ozonetel,Hyderabad,OTHERS,5000000,Series A,2021
CoinSwitch Kuber,Bangalore,OTHERS,260000000,Series C,2021
Pazcare,Bangalore,FINANCE,3500000,Others,2021
kWh Bikes,Bangalore,EV,2000000,Others,2021
Twin Health,ChennAI,HEALTH,140000000,Series C,2021
Trica,MumbAI,OTHERS,3000000,Others,2021
Rebel FOODs,MumbAI,OTHERS,175000000,Series F,2021
ProfitWheel,MumbAI,FINANCE,3000000,Others,2021
ReshaMandi,Bangalore,OTHERS,30000000,Series A,2021
Hubilo,Ahmedabad,OTHERS,125000000,Series B,2021
M2P FinEV,ChennAI,FINANCE,35000000,Series C,2021
Open Financial EVnologies,Bangalore,FINANCE,90000000,Series C,2021
Niro,Bangalore,FINANCE,3500000,Others,2021
CarDekho,JAIpur,EV,250000000,Series E,2021
Toch.AI,MumbAI,AI,11000000,Series A,2021
Fraazo,MumbAI,FOOD,50000000,Series B,2021
FloCareer,Bangalore,AI,5700000,Series A,2021
AcknoLedger,MumbAI,OTHERS,1500000,Others,2021
ApplicateAI,Gurugram,EV,30000000,Series A,2021
Aviom India,Bhilwara,FINANCE,8000000,Series C,2021
AI Labs,Noida,AI,17000000,Series A,2021
CRED,Bangalore,FINANCE,250000000,Series E,2021
ConveGenius,Noida,OTHERS,5000000,Others,2021
CredAble,MumbAI,FINANCE,30000000,Series B,2021
MarketWolf,MumbAI,FINANCE,5500000,Others,2021
Wondrlab,MumbAI,FINANCE,7000000,Others,2021
Tamasha,MumbAI,OTHERS,3000000,Others,2021
REVfin,New Delhi,FINANCE,4000000,Others,2021
FarMart,Gurugram,OTHERS,10000000,Series A,2021
Questt,Gurugram,EV,6750000,Series A,2021
IDfy,MumbAI,EV,10000000,Series D,2021
ClearDekho,Ghaziabad,FINANCE,4000000,Others,2021
BookingJini,Gurugram,HEALTH,1200000,Others,2021
Sourcewiz,Gurugram,EV,3000000,Others,2021
Kafqa Academy,Bangalore,OTHERS,1300000,Others,2021
Storia,MumbAI,FOOD,6000000,Series A,2021
Clear,Bangalore,AI,75000000,Series C,2021
Groww,Bangalore,FINANCE,250000000,Series E,2021
Teachmint,Bangalore,OTHERS,78000000,Series B,2021
Porter,Bangalore,OTHERS,100000000,Series E,2021
O4S,Gurugram,EV,6000000,Series A,2021
BASIC Home Loan,Gurugram,FINANCE,3500000,Series A,2021
Siply,Bangalore,FINANCE,3200000,Others,2021
Healofy,Bangalore,OTHERS,6000000,Series B,2021
E42,Pune,AI,5400000,Series A,2021
DeHaat,Gurugram,EV,115000000,Series D,2021
Zolve,Bangalore,FINANCE,40000000,Series A,2021
Hypto,ChennAI,OTHERS,3000000,Others,2021
CHUPPS,MumbAI,OTHERS,1100000,Others,2021
Zenduty,Bangalore,AI,1900000,Others,2021
Acko,Bangalore,FINANCE,255000000,Series D,2021
LoveLocal,MumbAI,FINANCE,18000000,Others,2021
SupplyNote,Noida,FOOD,1200000,Others,2021
Cloudphysician,Bangalore,HEALTH,4000000,Others,2021
Wiggles.in,Pune,OTHERS,5500000,Others,2021
Avanti FINANCE,Bangalore,FINANCE,15000000,Others,2021
MFine,Bangalore,HEALTH,48000000,Series C,2021
ConnectedH,Gurugram,HEALTH,2300000,Others,2021
CredAvenue,ChennAI,OTHERS,90000000,Series A,2021
Vedantu,Bangalore,OTHERS,100000000,Series E,2021
Exotel,Bangalore,OTHERS,35000000,Series C,2021
Fantasy Akhada,Gurugram,OTHERS,2000000,Series A,2021
Coinshift,Chandigarh,OTHERS,2500000,Others,2021
Chqbook,Gurugram,OTHERS,5000000,Others,2021
Rulezero,Bangalore,FINANCE,2500000,Others,2021
Karbon Card,Bangalore,OTHERS,12000000,Others,2021
ePayLater,MumbAI,FINANCE,10000000,Series B,2021
Fittr,Pune,HEALTH,11000000,Series A,2021
Medikabazaar,MumbAI,OTHERS,75000000,Series C,2021
Akudo,Bangalore,FINANCE,4200000,Others,2021
88academics,New Delhi,OTHERS,3000000,Others,2021
PredictiVu,Gurugram,OTHERS,1500000,Others,2021
Bijnis,New Delhi,OTHERS,30000000,Series B,2021
Glamyo Health,New Delhi,HEALTH,3000000,Series A,2021
CashBook,Gurugram,OTHERS,2300000,Others,2021
The Money Club,Noida,FINANCE,1700000,Others,2021
SuperZop,MumbAI,FINANCE,4000000,Series A,2021
Zypp Electric,Gurugram,OTHERS,7000000,Series A,2021
VRO HEALTH,Bangalore,HEALTH,3000000,Series A,2021
Leena AI,Gurugram,AI,30000000,Series B,2021
CARS24,Gurugram,EV,450000000,Series F,2021
Klub,Bangalore,FINANCE,2000000,Debt,2021
FloBiz,Bangalore,EV,31000000,Series B,2021
AerchAIn,Bangalore,AI,3000000,Others,2021
Wow! Momo,Kolkata,FOOD,15000000,Series C,2021
ZestMoney,Bangalore,FINANCE,50000000,Series C,2021
FrontRow,Bangalore,OTHERS,14000000,Series A,2021
BeepKart,Bangalore,EV,3000000,Others,2021
Lio,Pune,AI,5000000,Others,2021
TravClan,New Delhi,OTHERS,2200000,Others,2021
BetterPlace,Bangalore,EV,24000000,Series C,2021
GTM Buddy,Hyderabad,AI,2000000,Others,2021
HexaHealth,MumbAI,OTHERS,4500000,Others,2021
Eupheus Learning,New Delhi,OTHERS,10000000,Series C,2021
Anar,MumbAI,EV,6200000,Others,2021
Vahan,Bangalore,EV,8000000,Series A,2021
Awon GameZ,Noida,OTHERS,2000000,Others,2021
Ayu Health,Bangalore,HEALTH,6300000,Series A,2021
Apna,Bangalore,OTHERS,100000000,Series C,2021
BharatAgri,Bangalore,EV,6500000,Series A,2021
PaytAIl,New Delhi,FINANCE,1500000,Others,2021
4Fin,Pune,FINANCE,1100000,Others,2021
Coutloot,MumbAI,OTHERS,8000000,Others,2021
Nova Benefits,Bangalore,HEALTH,10000000,Series A,2021
HomeLane,Bangalore,OTHERS,50000000,Series E,2021
Jar,Bangalore,OTHERS,4500000,Others,2021
moneyHOP,London,FINANCE,1200000,Others,2021
Codingal,Bangalore,EV,1200000,Others,2021
Skit,Bangalore,OTHERS,23000000,Series B,2021
Peak,EV,OTHERS,75000000,Series C,2021
REVOS,Bangalore,EV,4000000,Series A,2021
Dezerv.,MumbAI,OTHERS,7000000,Others,2021
AppsForBharat,Bangalore,OTHERS,10000000,Series A,2021
Bikayi,Hyderabad,FINANCE,10000000,Series A,2021
Dukaan,Bangalore,FINANCE,11000000,Series A,2021
Biddano,Pune,HEALTH,2000000,Others,2021
Delhivery,Gurugram,OTHERS,76000000,Others,2021
Flipspaces,MumbAI,OTHERS,2000000,Others,2021
GoKwik,New Delhi,EV,5000000,Others,2021
Proeon,Pune,OTHERS,2000000,Others,2021
Cogos EVnologies,Bangalore,OTHERS,2000000,Others,2021
Gigforce,Gurugram,OTHERS,3000000,Others,2021
Vahdam,New Delhi,FOOD,20000000,Series D,2021
Leap FINANCE,Bangalore,FINANCE,55000000,Series C,2021
CollegeDekho,Gurugram,EV,26000000,Series B,2021
WeRize,Bangalore,FINANCE,8000000,Series A,2021
Dyte,Bengaluru,OTHERS,15300000,undisclosed,2022
Kirana Bazaar,Gurgaon,OTHERS,32800000,undisclosed,2022
Phool,kanpur,OTHERS,9400000,undisclosed,2022
Doceree,Parsippany,EV,12000000,undisclosed,2022
Acko,MumbAI,HEALTH,458000000,Series D,2022
Meesho,Bangalore,OTHERS,1100000000,Series F,2022
NoBroker,Bangalore,OTHERS,426000000,Series E,2022
Paytm,Noida,FINANCE,1200000000,undisclosed,2022
ShareChat,Bangalore,OTHERS,1400000000,Series G,2022
Unacademy,Bangalore,OTHERS,838500000,Series H,2022
Urban Company,Gurgaon,FINANCE,445900000,Series H,2022
Xpressbees,Pune,FINANCE,577600000,Series F,2022
Accel,Palo Alto,FINANCE,18300000000,undisclosed,2022
Oyo,Gurgaon,OTHERS,550000000,Series F,2022
Eruditus,Bangalore,OTHERS,1200000000,Series E,2022
Ola,Kormangala,OTHERS,5000000000,Series J,2022
DAIlyHunt,Bangalore,OTHERS,2200000,undisclosed,2022
CARS24,Gurgaon,OTHERS,1300000000,Series G,2022
Pine Labs,Noida,EV,1200000000,undisclosed,2022
BharatPe,New delhi,FINANCE,700500000,Series E,2022
Blackbuck,Bengaluru,AI,364000000,Series E,2022
Droom,Haryana,EV,333000000,Series F,2022
MindTickle,San Francisco,AI,281000000,Series E,2022
Vedantu,Bangalore,OTHERS,292900000,Series E,2022
CoinDCX,Mumba,OTHERS,109000000,Series C,2022
Razorpay,Bangalore,FINANCE,741600000,Series F,2022
Licious,Bengaluru,FOOD,488700000,Series F,2022
CoinSwitch Kuber,Bangalore,FINANCE,300600000,Series C,2022
Rebel FOODs,Pune,OTHERS,14500000,Series F,2022
Gupshup,San Francisco,OTHERS,240000000,Series F,2022
IndiQube,Bengaluru,OTHERS,30000000,Others,2022
Verse Innovation,Bengaluru,AI,1700000000,Series J,2022
Lenskart,Faridabad,FINANCE,899300000,Others,2022
Upstox,MumbAI,FINANCE,29000000,undisclosed,2022
Appsforbharat,Bangalore,EV,23000000,undisclosed,2022
MoEngage,San Francisco,EV,133000000,undisclosed,2022
Mahindra Logistics,MumbAI,OTHERS,2500000000,undisclosed,2022
Enphase Energy,Petaluma,OTHERS,116000000,undisclosed,2022
Allegis Group,Maryland,OTHERS,60000000,Series C,2022
Slice,Newyork,FOOD,125000000,Series D,2022
Tata Digital,MumbAI,AI,50000000,undisclosed,2022
UpGrad,MumbAI,OTHERS,201000000,undisclosed,2022
Chalo,MumbAI,EV,61000000,Others,2022
Digits,San Francisco,FINANCE,97500000,Series C,2022
Frigate,Tiruchirappall,EV,17500000,undisclosed,2022
Wildermart,Bengaluru,FOOD,24000000,undisclosed,2022
GROWiT,Surat,EV,30000000,undisclosed,2022
Lauriko,Hyderabad,HEALTH,37000000,undisclosed,2022
PraEV Brands,MumbAI,AI,3000000,undisclosed,2022
Glip,Delaware,AI,3000000,Others,2022
Hubble,London,OTHERS,12300000,undisclosed,2022
Limechat,Faridabad,AI,5000000,Others,2022
Medisage,MumbAI,HEALTH,530000000,undisclosed,2022
Spyne,Gurgaon,AI,7000000,Series A,2022
Stockal,Newyork,FINANCE,14800000,Series A,2022
YouKraft,Banglore,OTHERS,76000000,Others,2022
Securden,Delaware,FOOD,11700000,Series A,2022
Mesh,San Jose,AI,16100000,Series A,2022
Last9,Santa Clara,AI,13000000,Series A,2022
LoadShare,Bangalore,OTHERS,40000000,Series C,2022
Waterfield Advisors,MumbAI,FINANCE,6000000,Series B,2022
OneTo11,Noida,OTHERS,2500000,Others,2022
Jar,Bangalore,FINANCE,32000000,Series A,2022
Pillow,Bangalore,FINANCE,3000000,Others,2022
SatSure,Bangalore,OTHERS,5000000,Others,2022
Dvara SmartGold,MumbAI,FINANCE,2000000,Others,2022
Goldsetu,Bangalore,AI,1200000,Others,2022
Livspace,Bangalore,OTHERS,180000000,Series F,2022
ElasticRun,Pune,OTHERS,300000000,Series E,2022
Kofluence,Bangalore,FINANCE,4000000,Others,2022
Sprinto,Bangalore,AI,10000000,Series A,2022
Xpressbees,Pune,OTHERS,300000000,Series F,2022
Wealthy.in,Bangalore,FINANCE,7500000,Series A,2022
xto10x,Bangalore,EV,25000000,Series A,2022
Karbon Card,Bangalore,FINANCE,15000000,Series A,2022
Oloid,Bangalore,AI,12000000,Series A,2022
Bugworks,Bangalore,EV,18000000,Others,2022
Peakperformer,Bangalore,OTHERS,3000000,Others,2022
Carbanio,Hyderabad,OTHERS,1300000,Others,2022
Spacejoy,Bangalore,OTHERS,4000000,Others,2022
Altigreen,Bangalore,EV,40000000,Series A,2022
Kenko Health,MumbAI,HEALTH,12000000,Series A,2022
Aulerth,Gurgaon,OTHERS,1100000,Others,2022
Entri.app,Kochin,OTHERS,7000000,Series A,2022
GOQii,MumbAI,HEALTH,50000000,Series C,2022
Proactive For Her,Bangalore,HEALTH,5500000,Series A,2022
Actyv.AI,Bangalore,AI,5000000,Others,2022
Lummo,Bangalore,AI,80000000,Series C,2022
Uniphore,ChennAI,AI,400000000,Series E,2022
AGRIM,Gurgaon,EV,10000000,Series A,2022
DealShare,Bangalore,FINANCE,45000000,Series E,2022
Propelld,Bangalore,FINANCE,35000000,Series B,2022
Increff,Bangalore,AI,12000000,Series B,2022
Krishify,Gurgaon,ENTERTAINMENT,6200000,Others,2022
Fleetx.io,Gurgaon,AI,19000000,Series B,2022
MediBuddy,Bangalore,HEALTH,125000000,Series C,2022
Chargeup,New Delhi,OTHERS,2500000,Others,2022
RetAInIQ,Bangalore,FINANCE,2300000,Others,2022
Adicube,Bangalore,FINANCE,1600000,Others,2022
Com Olho,Gurgaon,EV,2000000,Others,2022
SandLogic,Bangalore,AI,4000000,Others,2022
Shipsy,Gurgaon,AI,25000000,Series B,2022
Arrivae,MumbAI,OTHERS,9000000,Series B,2022
Bhanzu,Hyderabad,OTHERS,2000000,Others,2022
Kalvi,Bangalore,OTHERS,1700000,Others,2022
Aastey,MumbAI,OTHERS,1300000,Others,2022
DaMENSCH,Bangalore,OTHERS,10000000,Series B,2022
ClAImBuddy,Gurgaon,HEALTH,3000000,Others,2022
Geniemode,Gurgaon,OTHERS,7000000,Series A,2022
Exotel,Bangalore,OTHERS,40000000,Series D,2022
iD Fresh FOODs,Bangalore,OTHERS,60000000,Series D,2022
Freecultr,New Delhi,OTHERS,5000000,Others,2022
Rupifi,Bangalore,FINANCE,25000000,Series A,2022
Avataar,Bangalore,AI,45000000,Series B,2022
Power Gummies,New Delhi,HEALTH,6000000,Series A,2022
The ePlane Company,ChennAI,OTHERS,5000000,Others,2022
zeda.io,Bangalore,AI,1200000,Others,2022
Refyne,Bangalore,FINANCE,82000000,Series B,2022
Muvin,Bangalore,FINANCE,3000000,Others,2022
Traya,MumbAI,HEALTH,2200000,Others,2022
Pepul,ChennAI,AI,1300000,Others,2022
Kaleidofin,ChennAI,FINANCE,10000000,Series B,2022
Turnip,Bangalore,OTHERS,12000000,Series A,2022
Rooter,New Delhi,OTHERS,25000000,Series A,2022
EVage,Chandigarh,EV,28000000,Others,2022
Chingari,Bangalore,OTHERS,15000000,Series A,2022
Your-Space,New Delhi,HEALTH,10000000,Series A,2022
HEAPS,Bangalore,HEALTH,550000000,Series A,2022
nCORE Games,Bangalore,OTHERS,10000000,Series A,2022
Arya.Ag,Noida,EV,60000000,Series C,2022
Epigeneres BioEV,MumbAI,EV,60000000,Series B,2022
INDmoney,Gurgaon,FINANCE,75000000,Series D,2022
MyCaptAIn,Bangalore,EV,3000000,Others,2022
HUVIAIR,Bangalore,AI,3200000,Series A,2022
Scripbox,Bangalore,FINANCE,21000000,Series D,2022
Pluckk,MumbAI,FOOD,5000000,Others,2022
Dogsee Chew,Bangalore,FOOD,6700000,Series A,2022
Lummo,Bangalore,OTHERS,80000000,Series C,2022
Threedots,Bangalore,FINANCE,4000000,Others,2022
MatchLog,MumbAI,OTHERS,3000000,Others,2022
NowPurchase,Kolkata,OTHERS,2400000,Others,2022
Sahicoin,Gurgaon,FINANCE,1750000,Others,2022
AI Labs,Noida,AI,42000000,Series B,2022
StockGro,Bangalore,FINANCE,32000000,Series A,2022
GIVA,Bangalore,OTHERS,10000000,Series A,2022
Zuper,ChennAI,EV,13000000,Series A,2022
StanPlus,Hyderabad,HEALTH,20000000,Series A,2022
Hospals,New Delhi,HEALTH,3500000,Others,2022
HYPD,New Delhi,FINANCE,1500000,Others,2022
NowPurchase,Kolkata,EV,2400000,Others,2022
Darwinbox,Bangalore,EV,72000000,Series D,2022
Flint,Bangalore,FINANCE,5000000,Others,2022
Vajro,ChennAI,AI,8500000,Series A,2022
RAIse Financial,MumbAI,FINANCE,22000000,Series A,2022
Vyapar,Bangalore,FINANCE,30000000,Series B,2022
MinIO,Bangalore,AI,100000000,Series B,2022
Growth School,Bangalore,OTHERS,5000000,Others,2022
iMocha,Pune,AI,14000000,Series A,2022
SuperOps.AI,ChennAI,AI,14000000,Series A,2022
Aqgromalin,ChennAI,OTHERS,5000000,Others,2022
Moglix',Noida,AI,250000000,Series F,2022
MoooFarm,Gurgaon,EV,2400000,Others,2022
Locofast,New Delhi,OTHERS,15000000,Series A,2022
Snapmint,MumbAI,FINANCE,9000000,Series A,2022
Kuhoo,MumbAI,FINANCE,20000000,Others,2022
RupeeRedee,Gurgaon,FINANCE,1100000,Series B,2022
Prozo,Noida,OTHERS,10000000,Series A,2022
Pocketly,Bangalore,FINANCE,3000000,Others,2022
Zapkey,MumbAI,OTHERS,2000000,Others,2022
Lobb,Bangalore,EV,1100000,Others,2022
Filo,Haryana,OTHERS,23000000,Series A,2022
Pocket FM,Bangalore,OTHERS,65000000,Series C,2022
Junio,New Delhi,FINANCE,6000000,Others,2022
CredAvenue,ChennAI,FINANCE,137000000,Series B,2022
CaptAIn Fresh,Bangalore,OTHERS,50000000,Series C,2022
Otipy,Haryana,EV,32000000,Series B,2022
CureSkin,Bangalore,HEALTH,5000000,Series A,2022
Hiver,Bangalore,AI,22000000,Series B,2022
Money View,Bangalore,FINANCE,75000000,Series D,2022
CredoPay,ChennAI,FINANCE,5000000,Others,2022
Loco,Bangalore,OTHERS,40000000,Series A,2022
Kuku FM,MumbAI,OTHERS,20000000,Series B,2022
Metasky,Bangalore,EV,2000000,Others,2022
Birdeye,Gurgaon,AI,60000000,Series C,2022
inFeedo,Gurgaon,OTHERS,12000000,Series A,2022
Licious,Bangalore,FOOD,150000000,Others,2022
LILA Games,Bangalore,OTHERS,10000000,Series A,2022
Cosmofeed,Gurgaon,OTHERS,1500000,Others,2022
Shipskart,New Delhi,OTHERS,2700000,Series A,2022
ekincare,Hyderabad,HEALTH,15000000,Series B,2022
CommerceIQ,Bangalore,AI,115000000,Series D,2022
LEVerage Edu,New Delhi,OTHERS,22000000,Series B,2022
Oxyzo,Gurgaon,FINANCE,200000000,Series A,2022
Plum,MumbAI,OTHERS,35000000,Series C,2022
Vivriti Capital,ChennAI,FINANCE,55000000,Series C,2022
Pixxel,Bangalore,OTHERS,25000000,Series A,2022
EdgeGrid,Hyderabad,AI,6000000,Others,2022
Classplus,Noida,EV,70000000,Series D,2022
Pep EVnologies Pvt Ltd,MumbAI,OTHERS,30000000,Series C,2022
HackerRank,Bangalore,AI,60000000,Series D,2022
CityMall,Gurgaon,EV,75000000,Series C,2022
OSlash,Bangalore,AI,5000000,Others,2022
SuperK,"Small Towns, Andhra",FINANCE,5500000,Others,2022
CARD91,Bangalore,FINANCE,13000000,Others,2022
FarMart,Gurgaon,OTHERS,32000000,Series B,2022
Pi Beam Electric,ChennAI,OTHERS,1700000,Others,2022
Seekho.AI,Gurgaon,OTHERS,3000000,Others,2022
Wiz Freight,ChennAI,EV,36000000,Series A,2022
OneCode,Bangalore,FINANCE,13000000,Series A,2022
Kogta Financial,JAIpur,FINANCE,111000000,Series D,2022
KiarX,Ahemdabad,OTHERS,15000000,Others,2022
REVoh,ChennAI,EV,15000000,Others,2022
FlexifyMe,Pune,HEALTH,30000000,Others,2022
Red Basil EVnologies,Gurgaon,FOOD,2500000,Others,2022
ForeignAdmits,Bengaluru,OTHERS,67600000,Others,2022
Sploot,Gurgaon,OTHERS,50000000,Others,2022
Fanztar,Gurgaon,AI,5000000,Others,2022
Humpy Farms,MumbAI,OTHERS,5000000,Others,2022
NutriTap,Gurgaon,FOOD,12000000,Others,2022
Fyllo,Chicago,AI,9800000,Series C,2022
AssetPlus,ChennAI,FINANCE,28000000,Series A,2022
Kolo,Singapore,EV,4600000,Others,2022
BharatX,Benglaru,FINANCE,4800000,Others,2022
Hono,Haryana,AI,39000000,Series A,2022
Dyte,Bengaluru,OTHERS,15300000,undisclosed,2022
Kirana Bazaar,Gurgaon,OTHERS,32800000,undisclosed,2022
Phool,kanpur,OTHERS,9400000,undisclosed,2022
Doceree,Parsippany,EV,12000000,undisclosed,2022
Acko,MumbAI,HEALTH,458000000,Series D,2022
Meesho,Bangalore,OTHERS,1100000000,Series F,2022
NoBroker,Bangalore,OTHERS,426000000,Series E,2022
Paytm,Noida,FINANCE,1200000000,undisclosed,2022
ShareChat,Bangalore,OTHERS,1400000000,Series G,2022
Unacademy,Bangalore,OTHERS,838500000,Series H,2022
Urban Company,Gurgaon,FINANCE,445900000,Series H,2022
Xpressbees,Pune,FINANCE,577600000,Series F,2022
Accel,Palo Alto,FINANCE,18300000000,undisclosed,2022
Oyo,Gurgaon,OTHERS,550000000,Series F,2022
Eruditus,Bangalore,OTHERS,1200000000,Series E,2022
Ola,Kormangala,OTHERS,5000000000,Series J,2022
DAIlyHunt,Bangalore,OTHERS,2200000,undisclosed,2022
